ra	dc
314.078	-4.57652
322.426	0.0362072
248.989	66.1604
104.751	-55.9039
163.184	57.4841
189.317	62.2103
53.1221	-27.8062
53.1124	-27.8051
342.348	-8.24934
65.6085	60.3383
182.453	10.7737
293.693	30.5257
316.752	42.2454
58.8443	31.0505
349.719	7.44352
350.247	7.13513
121.215	12.2069
77.383	11.2813
51.6487	28.7104
256.042	51.7766
83.8601	-5.91937
134.938	-27.8124
29.8076	-40.6791
83.7835	9.92943
47.0438	40.9511
51.6465	28.7104
56.1253	32.1382
309.177	40.3554
53.3132	-25.8672
354.39	46.4533
85.1855	-1.95771
36.4142	62.0935
68.3877	18.0206
115.828	28.8915
202.688	24.2409
253.892	-8.40246
289.229	5.15475
246.629	-24.2895
246.38	-24.422
246.628	-24.5385
246.864	-24.1715
247.107	-24.7968
247.107	-24.5468
247.112	-24.288
54.9044	-35.4369
348.092	10.7802
196.568	-48.4732
221.493	-44.8773
229.381	-58.8111
122.388	-47.3462
269.622	66.6408
337.411	-20.8433
161.261	-59.676
168.781	-61.2647
83.8363	-5.09574
246.825	-24.5734
95.9826	-52.6923
246.646	-24.3874
248.967	-28.225
83.0025	-0.303858
120.897	-40.0134
217.449	-62.6832
52.275	31.3266
69.9628	-68.1549
141.445	-47.973
274.056	49.8626
325.669	43.5872
118.774	22
325.67	43.5847
283.762	-31.1538
52.803	43.8836
355.965	-15.2804
161.257	-52.3819
201.697	-47.4734
267.009	-24.792
267.009	-24.7922
34.5232	42.534
255.983	-37.8484
265.976	-29.7498
287.948	4.98783
288.798	10.9503
258.113	-40.8363
258.593	-34.0469
264.575	-26.9893
264.569	-27.0516
264.883	-29.6951
264.858	-29.647
267.462	-33.1995
267.434	-33.1477
267.515	-32.4494
273.794	-12.0619
276.445	-37.1152
78.5341	-40.0453
261.889	-30.797
263.349	-33.3921
322.493	12.1713
65.4288	32.9124
236.783	-47.674
263.35	-33.3933
237.737	-56.482
237.792	-56.4675
237.792	-56.4689
